"","fst_values"
"Karrak_lake.vs.Qanisartuut",0.0976586609604829
"Karrak_lake.vs.Zackenberg",0.0225781823480275
"Karrak_lake.vs.Scoresbysund",0.0652293569851614
"Karrak_lake.vs.Kangerlussuaq",0.0174912615859669
"Karrak_lake.vs.Scoresbysund_immigrant",0.00141214553593008
"Karrak_lake.vs.Taymyr",0.00135810219212555
"Karrak_lake.vs.Bylot_island",-0.0039211867432731
"Qanisartuut.vs.Zackenberg",0.110089163887644
"Qanisartuut.vs.Scoresbysund",0.140717559548028
"Qanisartuut.vs.Kangerlussuaq",0.086856359355726
"Qanisartuut.vs.Scoresbysund_immigrant",0.0968355388366176
"Qanisartuut.vs.Taymyr",0.0936009320118309
"Qanisartuut.vs.Bylot_island",0.115010877821847
"Zackenberg.vs.Scoresbysund",0.0739406870473387
"Zackenberg.vs.Kangerlussuaq",0.0340031939841916
"Zackenberg.vs.Scoresbysund_immigrant",0.0226014244613903
"Zackenberg.vs.Taymyr",0.0210035834937354
"Zackenberg.vs.Bylot_island",0.0346770550076254
"Scoresbysund.vs.Kangerlussuaq",0.0687377262748268
"Scoresbysund.vs.Scoresbysund_immigrant",0.0592686616120418
"Scoresbysund.vs.Taymyr",0.0619654708045583
"Scoresbysund.vs.Bylot_island",0.0808188981045532
"Kangerlussuaq.vs.Scoresbysund_immigrant",0.016261481121872
"Kangerlussuaq.vs.Taymyr",0.0182016200331482
"Kangerlussuaq.vs.Bylot_island",0.0169423052259142
"Scoresbysund_immigrant.vs.Taymyr",0.00118900222920228
"Scoresbysund_immigrant.vs.Bylot_island",0.00172332335567264
"Taymyr.vs.Bylot_island",-0.00182592857483117
